Número Proveedor,Nombre Proveedor,tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razón Social,Tipo de Contribuyente,CUIT,Fecha,baja,activo,Frecuencia,f_donacion,Importe,Nro_Cuenta,Ciudad,Pais,Categor/a Proveedor,fecha_a,fecha_b,detalle_ing,tipoCta,importeResultados
D00001,TechNova Solutions,Empresa,Contacto A,-,TechNova Solutions@example.com,(011) 5000-0001,Observación 1,S.R.L,Responsable Inscripto,20-12345678-9,26/02/2024,01/04/2024,NO,Mensual,26/2/2024,292732,402101,,,,26/2/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,292732
D00002,EnergiaPlus S.A.,Empresa,Contacto B,-,EnergiaPlus S.A.@example.com,(011) 5000-0002,Observación 2,S.A,Monotributista,21-23456789-0,12/01/2024,01/04/2024,NO,Bimestral,12/1/2024,326439,403101,,,,12/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,326439
D00003,Grupo Delta,Empresa,Contacto C,-,Grupo Delta@example.com,(011) 5000-0003,Observación 3,S.R.L,Responsable Inscripto,22-34567890-1,8/06/2024,,SI,Anual,8/6/2024,276920,403101,,,,8/6/2024,,Donaciones Personales no recurrentes,Ingresos,276920
D00004,Inova Global,Empresa,Contacto D,-,Inova Global@example,(011) 5000-0004,Observación 4,S.R.L,Monotributista,23-45678901-2,11/02/2024,01/04/2024,NO,Mensual,11/2/2024,406733,402101,,,,11/2/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,406733
D00005,Vanguardia Consultora,Empresa,Contacto E,-,Vanguardia Consultora@example.com,(011) 5000-0005,Observación 5,S.R.L,Responsable Inscripto,24-56789012-3,29/05/2024,,SI,Bimestral,29/5/2024,352572,403101,,,,29/5/2024,,Donaciones Personales no recurrentes,Ingresos,352572
D00006,EcoTech Argentina,Empresa,Contacto F,-,EcoTech Argentina@example.com,(011) 5000-0006,Observación 6,,Monotributista,25-67890123-4,7/02/2024,01/04/2024,NO,Anual,7/2/2024,499223,403101,,,,7/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,499223
D00007,NexGen Industries,Empresa,Contacto G,-,NexGen Industries@example.com,(011) 5000-0007,Observación 7,S.R.L,Responsable Inscripto,26-78901234-5,26/06/2024,,SI,Mensual,26/6/2024,344730,402101,,,,26/6/2024,,Ingresos Institucionales mensuales,Ingresos,344730
D00008,RedHorizonte,Empresa,Contacto H,-,RedHorizonte@example.com,(011) 5000-0008,Observación 8,S.R.L,Monotributista,27-89012345-6,,,SI,Bimestral,0/1/1900,489625,403101,,,,1/1/2024,,Donaciones Personales no recurrentes,Ingresos,489625
D00009,Optima Logística,Empresa,Contacto I,-,Optima Logística@example.com,(011) 5000-0009,Observación 9,S.R.L,Responsable Inscripto,28-90123456-7,17/05/2024,,SI,Anual,17/5/2024,428367,403101,,,,17/5/2024,,Donaciones Personales no recurrentes,Ingresos,428367
D00010,Punto Verde,Empresa,Contacto J,-,Punto Verde@example.com,(011) 5000-0010,Observación 10,S.R.L,Monotributista,29-01234567-8,1/04/2024,,SI,Mensual,1/4/2024,362840,402101,,,,1/4/2024,,Ingresos Institucionales mensuales,Ingresos,362840
D00011,Zenith Digital,Empresa,Contacto K,-,Zenith Digital@example.com,(011) 5000-0011,Observación 11,S.R.L,Responsable Inscripto,20-12345679-0,16/03/2024,01/04/2024,NO,Bimestral,16/3/2024,152834,403101,,,,16/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,152834
D00012,CreaTech S.R.L.,Empresa,Contacto L,-,CreaTech S.R.L.@example.com,(011) 5000-0012,Observación 12,S.R.L,Monotributista,21-23456780-1,15/04/2024,,SI,Anual,15/4/2024,175310,403101,,,,15/4/2024,,Donaciones Personales no recurrentes,Ingresos,175310
D00013,Alfa Innovaciones,Empresa,Contacto M,-,Alfa Innovaciones@example.com,(011) 5000-0013,Observación 13,S.R.L,Responsable Inscripto,22-34567891-2,4/02/2024,01/04/2024,NO,Mensual,4/2/2024,417633,402101,,,,4/2/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,417633
D00013,Alfa Innovaciones,Empresa,Contacto M,-,Alfa Innovaciones@example.com,(011) 5000-0013,Observación 13,S.R.L,Responsable Inscripto,22-34567891-2,4/02/2024,01/04/2024,NO,Mensual,4/2/2024,169763,402101,,,,4/2/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,169763
D00014,ServiNet,Empresa,Contacto N,-,ServiNet@example.com,(011) 5000-0014,Observación 14,S.A,Monotributista,23-45678902-3,5/06/2024,,SI,Bimestral,5/6/2024,244263,403101,,,,5/6/2024,,Donaciones Personales no recurrentes,Ingresos,244263
D00015,AeroPlus,Empresa,Contacto O,-,AeroPlus@example,(011) 5000-0015,Observación 15,S.A,Responsable Inscripto,24-56789013-4,23/03/2024,01/04/2024,NO,Anual,23/3/2024,109935,403101,,,,23/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,109935
D00016,MaxiData,Empresa,Contacto P,-,MaxiData@example.com,(011) 5000-0016,Observación 16,,Monotributista,25-67890124-5,7/04/2024,,SI,Mensual,7/4/2024,483186,402101,,,,7/4/2024,,Ingresos Institucionales mensuales,Ingresos,483186
D00017,EcoAventura,Empresa,Contacto Q,-,EcoAventura@example.com,(011) 5000-0017,Observación 17,S.A,Responsable Inscripto,26-78901235-6,29/03/2024,01/04/2024,NO,Bimestral,29/3/2024,349289,403101,,,,29/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,349289
D00018,Sigma Consulting,Empresa,Contacto R,-,Sigma Consulting@example.com,(011) 5000-0018,Observación 18,S.A,Monotributista,27-89012346-7,30/03/2024,,SI,Anual,30/3/2024,191824,403101,,,,30/3/2024,,Donaciones Personales no recurrentes,Ingresos,191824
D00019,Soluciones Avanzadas,Empresa,Contacto S,-,Soluciones Avanzadas@example.com,(011) 5000-0019,Observación 19,S.A,Responsable Inscripto,28-90123457-8,1/01/2024,01/04/2024,NO,Mensual,1/1/2024,349612,402101,,,,1/1/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,349612
