Número Proveedor,Nombre Proveedor,tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razón Social,Tipo de Contribuyente,CUIT,Fecha,baja,activo,Frecuencia,f_donacion,Importe,Nro_Cuenta,Ciudad,Pais,Categor/a Proveedor,fecha_a,fecha_b,detalle_ing,tipoCta,importeResultados
E00001,SolarTech Innovations,Empresa,Laura Méndez,Gerente de RSE,laura.mendez@solartech.com,(011) 4555-1001,Donación para proyectos sustentables,S.A.,Responsable Inscripto,30-11223344-5,15/3/2024,,SI,Mensual,15/3/2024,185000,402101,Buenos Aires,Argentina,Energías Renovables,15/3/2024,,Ingresos Institucionales mensuales,Ingresos,185000
E00002,Juan Carlos Ruiz,Individuo,,Abogado,jcruiz@abogados.com.ar,(011) 4555-1002,Donación anual para educación,-,Monotributista,20-22334455-6,10/4/2024,,SI,Anual,10/4/2024,75000,403101,Córdoba,Argentina,,10/4/2024,,Donaciones Personales no recurrentes,Ingresos,75000
E00003,Ministerio de Innovación,Estado,,,innovacion@ministerio.gob.ar,(011) 4555-1003,Fondos para desarrollo tecnológico,GOB,Exento,30-00000001-7,5/5/2024,,SI,Trimestral,5/5/2024,500000,404100,Buenos Aires,Argentina,Tecnología,5/5/2024,,Ingresos Estado,Ingresos,500000
E00004,EcoFuture ONG,ONG,María González,Directora,m.gonzalez@ecofuture.org,(011) 4555-1004,Proyectos ambientales,ONG,Monotributista,23-33445566-7,20/6/2024,,SI,Bimestral,20/6/2024,120000,405100,Mendoza,Argentina,Medio Ambiente,20/6/2024,,Ingresos Servicios,Ingresos,120000
E00005,Global Logistics SA,Empresa,Carlos Fernández,CEO,c.fernandez@globallogistics.com,(011) 4555-1005,Donación corporativa,S.A.,Responsable Inscripto,30-44556677-8,12/7/2024,,SI,Mensual,12/7/2024,225000,402101,Rosario,Argentina,Logística,12/7/2024,,Ingresos Institucionales mensuales,Ingresos,225000
E00006,Ana Belén Torres,Individuo,,Médica,anatorres@mail.com,(011) 4555-1006,Donación para investigación médica,-,Responsable Inscripto,27-55667788-9,25/8/2024,,SI,Mensual,25/8/2024,45000,402102,Mar del Plata,Argentina,Salud,25/8/2024,,Donaciones Personales mensuales,Ingresos,45000
E00007,Construcciones Modernas,Empresa,Roberto Sosa,Gerente Financiero,r.sosa@constmodernas.com,(011) 4555-1007,Aporte para viviendas sociales,S.R.L.,Monotributista,24-66778899-0,8/9/2024,,SI,Semestral,8/9/2024,180000,403103,San Juan,Argentina,Construcción,8/9/2024,,Ingresos Bonos Contribución,Ingresos,180000
E00008,Fundación Educación Para Todos,ONG,Lucía Pérez,Directora,l.perez@fundacionept.org,(011) 4555-1008,Becas estudiantiles,Fundación,Exento,30-77889900-1,30/10/2024,,SI,Anual,30/10/2024,300000,405100,Tucumán,Argentina,Educación,30/10/2024,,Ingresos Servicios,Ingresos,300000
E00009,TechSolutions Argentina,Empresa,Diego Gutierrez,CTO,d.gutierrez@techsolutions.com,(011) 4555-1009,Donación en equipos tecnológicos,S.A.,Responsable Inscripto,30-88990011-2,15/11/2024,,SI,Única,15/11/2024,275000,409021,Buenos Aires,Argentina,Tecnología,15/11/2024,,Donaciones en Especies,Ingresos,275000
E00010,Marta Liliana Suárez,Individuo,,Contadora,mlsuarez@contadores.com,(011) 4555-1010,Donación para adultos mayores,-,Monotributista,23-99001122-3,5/12/2024,,SI,Bimestral,5/12/2024,65000,403101,La Plata,Argentina,Asistencia Social,5/12/2024,,Donaciones Personales no recurrentes,Ingresos,65000
