CodProv,Nombre,Cuit,Tipo,CondIVA,obs,contacto,email,tel,categoria,importe,fecha,Ncuenta,ciudad,pais,DetalleEgreso,TipoCta,importeResultados
P00100,Gabriela Morales,30-98765437-1,MATERIALES,MONOTRIBUTISTA,,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,S.R.L.,11660,31/1/2024,503100,,,Alimentación,Gastos,-11660
P00099,Servicios Repuestos,30-45678910-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,229885,26/5/2024,501400,,,Honorarios Asesoría General,Gastos,-229885
P00098,Consultora Alpha,30-32165492-9,MATERIALES,MONOTRIBUTISTA,,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,S.R.L.,158472,4/4/2024,516000,,,Gastos varios,Gastos,-158472
P00097,Proveedora Consultora,30-19283755-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,S.A.A,56026,16/3/2024,514100,,,Institucionales varios,Gastos,-56026
P00096,Mariana Fernández,30-86430987-7,MATERIALES,MONOTRIBUTISTA,,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,197447,4/3/2024,509100,,,Servicios Soporte,Gastos,-197447
P00095,Servicios Consultores,30-97531256-6,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,176507,30/3/2024,506100,,,Insumos Pedagógicos,Gastos,-176507
P00094,Gabriela Martínez,30-24681366-5,AGENTE IMPOSITIVO,monotribustista,,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,S.R.L.,220046,2/3/2024,503100,,,Alimentación,Gastos,-220046
P00093,Servicios Proveedores,30-13579253-4,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,S.A.,151263,27/6/2024,501400,,,Honorarios Asesoría General,Gastos,-151263
P00092,Consultora Zeta,30-86430986-3,SERVICIOS,MONOTRIBUTISTA,,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,S.R.L.,19014,19/1/2024,516000,,,Gastos varios,Gastos,-19014
P00091,Pedro Morales,30-97531255-2,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Pedro Morales,pedro.morales@correo.zom,1234-5678,S.A.,193959,18/4/2024,514100,,,Institucionales varios,Gastos,-193959
P00090,Servicios Consultora,,MATERIALES,MONOTRIBUTISTA,,Servicios Consultora,servicios.consultora@empresa.zom,0123-4567,S.R.L.,247318,6/3/2024,509100,,,Servicios Soporte,Gastos,-247318
P00089,Mariana Morales,30-13579252-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,243339,18/1/2024,506100,,,Insumos Pedagógicos,Gastos,-243339
P00088,Repuestos & Co.,,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Repuestos & Co.,repuestos.co@correo.zom,8901-2345,S.R.L.,165876,6/5/2024,503100,,,Alimentación,Gastos,-165876
P00087,Consultora Zeta SRL,30-97531254-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Consultora Zeta,consultora.zeta@correo.zom,7890-1234,S.R.L.,171619,19/3/2024,501400,,,Honorarios Asesoría General,Gastos,-171619
P00086, Ana Gómez,30-45678909-7,SERVICIOS,MONOTRIBUTISTA,,Ana Gómez,ana.gomez@empresa.zom,6789-0123,S.R.L.,110248,28/2/2024,516000,,,Gastos varios,Gastos,-110248
P00085,Estudio Consultores,30-32165491-6,MATERIALES,RESPONSABLE INSCR/ITO,,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.A,60583,9/6/2024,514100,,,Institucionales varios,Gastos,-60583
P00084,Fernando Pérez,30-19283754-5,SERVICIOS,MONOTRIBUTISTA,,Fernando Pérez,fernando.perez@correo.zom,4567-8901,S.R.L.,202128,12/2/2024,509100,,,Servicios Soporte,Gastos,-202128
P00083,Proveedora Gamma,30-86430984-4,MATERIALES,RESPONSABLE INSCR/ITO,,Proveedora Gamma,proveedora.gamma@empresa.zom,3456-7890,S.A.,138336,12/2/2024,506100,,,Insumos Pedagógicos,Gastos,-138336
P00082,Gabriela Torres,30-97531253-3,SERVICIOS,MONOTRIBUTISTA,,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,130478,16/5/2024,503100,,,Alimentación,Gastos,-130478
P00081,Estudio Jurídico Zeta,30-24681364-2,SERVICIOS,RESPONSABLE INSCR/ITO,,Estudio Jurídico,estudio.zeta@correo.zom,1234-5678,S.A.,98664,1/4/2024,501400,,,Honorarios Asesoría General,Gastos,-98664
P00080,Consultora Beta SRL,30-13579251-1,SERVICIOS,MONOTRIBUTISTA,,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,248564,22/6/2024,516000,,,Gastos varios,Gastos,-248564
P00080,Consultora Beta SRL,30-13579251-1,SERVICIOS,monotribustista,,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,19483,12/1/2024,514100,,,Institucionales varios,Gastos,-19483
P00079,Ana Morales,30-86430983-0,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Ana Morales,ana.morales@correo.zom,9012-3456,S.A.A,38459,21/5/2024,509100,,,Servicios Soporte,Gastos,-38459
P00078,Servicios Gamma S.A.,30-97531252-9,MATERIALES,MONOTRIBUTISTA,,Servicios Gamma,servicios.gamma@correo.zom,8901-2345,S.R.L.,143033,8/4/2024,506100,,,Insumos Pedagógicos,Gastos,-143033
P00077,Javier Rodríguez,30-45678908-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,S.A.,111243,22/3/2024,503100,,,Alimentación,Gastos,-111243
P00076,Repuestos Beta S.A.,30-32165490-7,SERVICIOS,MONOTRIBUTISTA,,Repuestos Beta,repuestos.beta@empresa.zom,6789-0123,S.R.L.,79911,10/5/2024,501400,,,Honorarios Asesoría General,Gastos,-79911
P00075,Servicios Alpha S.A.,30-19283753-6,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,S.A.,30219,3/5/2024,516000,,,Gastos varios,Gastos,-30219
P00074,Proveedora SRL,30-86430982-5,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Proveedora SRL,proveedora.srl@correo.zom,4567-8901,S.R.L.,86825,4/6/2024,514100,,,Institucionales varios,Gastos,-86825
P00073,Andrés García,30-97531251-4,MATERIALES,RESPONSABLE INSCR/ITO,,Andrés García,andres.garcia@correo.zom,3456-7890,S.A.,24573,13/6/2024,509100,,,Servicios Soporte,Gastos,-24573
P00072,Estudio Consultores,30-24681363-3,SERVICIOS,MONOTRIBUTISTA,,Estudio Consultores,estudio.consultores@empresa.zom,2345-6789,S.R.L.,39168,6/2/2024,506100,,,Insumos Pedagógicos,Gastos,-39168
P00071,Servicios Gamma,30-13579250-2,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Servicios Gamma,servicios.gamma@correo.zom,1234-5678,S.A.,202261,3/3/2024,503100,,,Alimentación,Gastos,-202261
P00070,Mariana López,30-98765436-1,SERVICIOS,MONOTRIBUTISTA,,Mariana López,mariana.lopez@correo.zom,0123-4567,S.R.L.,66873,11/3/2024,501400,,,Honorarios Asesoría General,Gastos,-66873
P00069,Proveedores Beta,30-45678907-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Proveedores Beta,proveedores.beta@empresa.zom,9012-3456,S.A.,123157,21/6/2024,516000,,,Gastos varios,Gastos,-123157
P00068,Roberto Morales,30-32165489-9,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Roberto Morales,roberto.morales@correo.zom,8901-2345,S.R.L.,84567,27/3/2024,514100,,,Institucionales varios,Gastos,-84567
P00067,Estudio Jurídico S.A.,30-19283752-8,MATERIALES,RESPONSABLE INSCR/ITO,,Estudio Jurídico,estudio.juridico@correo.com,7890-1234,S.A.,15039,13/5/2024,509100,,,Servicios Soporte,Gastos,-15039
P00066, Marta López,30-86430981-7,SERVICIOS,MONOTRIBUTISTA,,Marta López,marta.lopez@correo.zom,6789-0123,S.R.L.,158588,13/3/2024,506100,,,Insumos Pedagógicos,Gastos,-158588
P00065, Servicios Beta,30-97531250-6,MATERIALES,RESPONSABLE INSCR/ITO,,Laura Gómez,laura.gomez@empresa.zom,5678-9012,S.A.,45663,5/1/2024,503100,,,Alimentación,Gastos,-45663
P00064,Consultora S.A.S.,30-24681362-5,SERVICIOS,monotribustista,,Consultora S.A.S.,consultora@correo.com,4567-8901,S.R.L.,146153,29/2/2024,501400,,,Honorarios Asesoría General,Gastos,-146153
P00063,Grupo SRL,30-13579249-4,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Grupo SRL,grupo.srl@empresa.zom,3456-7890,S.R.L.,112835,22/2/2024,516000,,,Gastos varios,Gastos,-112835
P00062,Ana Gómez,30-98765435-3,MATERIALES,MONOTRIBUTISTA,,Ana Gómez,ana.gomez@correo.com,2345-6789,S.R.L.,188554,17/6/2024,514100,,,Institucionales varios,Gastos,-188554
P00061,Servicios Zeta S.A.,30-45678906-2,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Zeta,servicios.zeta@empresa.com,AR1234-5678,S.A.,153273,14/2/2024,509100,,,Servicios Soporte,Gastos,-153273
P00060,Roberto Pérez,30-32165488-1,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Roberto Pérez,roberto.perez@correo.zom,0123-4567,S.R.L.,85688,6/1/2024,506100,,,Insumos Pedagógicos,Gastos,-85688
P00060,Roberto Pérez,30-32165488-1,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Roberto Pérez,roberto.perez@correo.zom,0123-4567,S.R.L.,24035,27/2/2024,503100,,,Alimentación,Gastos,-24035
P00059, Proveedores SRL,30-19283751-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Proveedores SRL,proveedores.srl@empresa.zom,9012-3456,S.R.L.,117707,29/1/2024,501400,,,Honorarios Asesoría General,Gastos,-117707
P00058,Alejandro Martínez,30-86430980-9,SERVICIOS,MONOTRIBUTISTA,,Alejandro Martínez,alejandro.martinez@correo.com,8901-2345,S.R.L.,144695,19/2/2024,516000,,,Gastos varios,Gastos,-144695
P00057,Consultora Beta,30-13579248-8,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Consultora Beta,consultora.beta@empresa.zom,7890-1234,S.A.,51264,12/4/2024,514100,,,Institucionales varios,Gastos,-51264
P00056,Repuestos S.A.,30-97531249-7,MATERIALES,MONOTRIBUTISTA,,Roberto Díaz,roberto.diaz@correo.zom,6789-0123,S.R.L.,71853,2/5/2024,509100,,,Servicios Soporte,Gastos,-71853
P00054,Claudia Ruiz,30-87654322-5,MATERIALES,MONOTRIBUTISTA,,Claudia Ruiz,claudia.ruiz@empresa.zom,4567-8901,S.R.L.,40126,8/1/2024,503100,,,Alimentación,Gastos,-40126
P00052,Pedro Sánchez,30-98765434-4,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Pedro Sánchez,pedro.sanchez@correo.zom,2345-6789,S.R.L.,153937,18/2/2024,516000,,,Gastos varios,Gastos,-153937
